Date,Price,Cash,Shares,Portfolio Value,Peak,Drawdown
2026-04-02,27.760000228881836,3000.0,252.16138120622622,10000.0,10000.0,0.0
2026-04-06,29.15999984741211,3000.0,252.16138120622622,10353.025837496783,10353.025837496783,0.0
2026-04-07,29.440000534057617,3000.0,252.16138120622622,10423.631197380008,10423.631197380008,0.0
2026-04-08,32.470001220703125,3000.0,252.16138120622622,11187.680355580353,11187.680355580353,0.0
2026-04-09,32.380001068115234,3000.0,252.16138120622622,11164.985792795018,11187.680355580353,-0.002028531569014169
2026-04-10,32.43000030517578,3000.0,252.16138120622622,11177.593669471462,11187.680355580353,-0.0009015886929464312
2026-04-13,33.54999923706055,3000.0,252.16138120622622,11460.014147085023,11460.014147085023,0.0
2026-04-14,35.56999969482422,3000.0,252.16138120622622,11969.38025255192,11969.38025255192,0.0
2026-04-15,34.470001220703125,3000.0,252.16138120622622,11692.003117992805,11969.38025255192,-0.023173892775273597
2026-04-16,35.040000915527344,3000.0,252.16138120622622,11835.735028326806,11969.38025255192,-0.011165592654358236
2026-04-17,35.59000015258789,3000.0,252.16138120622622,11974.423595606364,11974.423595606364,0.0
2026-04-20,35.06999969482422,3000.0,252.16138120622622,11843.299561948807,11974.423595606364,-0.010950342002739033
2026-04-21,34.93000030517578,3000.0,252.16138120622622,11807.997122487028,11974.423595606364,-0.013898495555176527
2026-04-22,37.29999923706055,3000.0,252.16138120622622,12405.619326608372,12405.619326608372,0.0
2026-04-23,36.36000061035156,3000.0,252.16138120622622,12168.587974565478,12405.619326608372,-0.019106772971381858
2026-04-24,37.20000076293945,3000.0,252.16138120622622,12380.403573255482,12405.619326608372,-0.0020326073764657115
2026-04-27,38.56999969482422,3000.0,252.16138120622622,12725.864396170598,12725.864396170598,0.0
2026-04-28,37.33000183105469,3000.0,252.16138120622622,12413.184822149704,12725.864396170598,-0.0245703996433424
2026-04-29,38.22999954223633,3000.0,252.16138120622622,12640.129488083709,12725.864396170598,-0.006737059693382341
2026-04-30,39.33000183105469,3000.0,252.16138120622622,12917.507584562156,12917.507584562156,0.0
2026-05-01,40.40999984741211,3000.0,252.16138120622622,13189.841376066828,13189.841376066828,0.0
2026-05-04,42.470001220703125,3000.0,252.16138120622622,13709.294167642614,13709.294167642614,0.0
2026-05-05,46.290000915527344,3000.0,252.16138120622622,14672.55056689685,14672.55056689685,0.0
2026-05-06,48.68000030517578,3000.0,252.16138120622622,15275.216114072638,15275.216114072638,0.0
2026-05-07,46.54999923706055,3000.0,252.16138120622622,14738.112102765965,15275.216114072638,-0.03516179458906998
2026-05-08,52.79999923706055,3000.0,252.16138120622622,16314.120735304878,16314.120735304878,0.0
2026-05-11,55.08000183105469,3000.0,252.16138120622622,16889.04933856022,16889.04933856022,0.0
2026-05-12,51.29999923706055,3000.0,252.16138120622622,15935.87866349554,16889.04933856022,-0.05643720116847839
2026-05-13,54.540000915527344,3000.0,252.16138120622622,16752.881961848216,16889.04933856022,-0.00806246544624123
2026-05-14,53.790000915527344,3000.0,252.16138120622622,16563.76092594355,16889.04933856022,-0.01926031513650628
2026-05-15,51.099998474121094,3000.0,252.16138120622622,15885.446194870428,16889.04933856022,-0.059423305810257565
2026-05-18,49.31999969482422,3000.0,252.16138120622622,15436.599244137531,16889.04933856022,-0.08599951751615342
2026-05-19,49.77000045776367,3000.0,252.16138120622622,15550.0720580642,16889.04933856022,-0.07928079631095253
2026-05-20,51.5099983215332,3000.0,252.16138120622622,15988.832322688208,16889.04933856022,-0.05330181692445435
2026-05-21,54.34000015258789,3000.0,252.16138120622622,16702.449493223106,16889.04933856022,-0.011048570088020182
2026-05-22,52.81999969482422,3000.0,252.16138120622622,16319.164078359323,16889.04933856022,-0.03374288562824934
2026-05-26,60.5099983215332,3000.0,252.16138120622622,18258.28475354424,18258.28475354424,0.0
2026-05-27,60.72999954223633,3000.0,252.16138120622622,18313.760565223798,18313.760565223798,0.0
2026-05-28,62.56999969482422,3000.0,252.16138120622622,18777.737545120028,18777.737545120028,0.0
2026-05-29,63.20000076293945,3000.0,252.16138120622622,18936.599484617363,18936.599484617363,0.0
2026-06-01,68.0,3000.0,252.16138120622622,20146.973922023382,20146.973922023382,0.0
2026-06-02,69.56999969482422,3000.0,252.16138120622622,20542.86721356361,20542.86721356361,0.0
2026-06-03,69.70999908447266,3000.0,252.16138120622622,20578.16965302539,20578.16965302539,0.0
