Date,Portfolio Value,Cash,Return %,Peak,Drawdown %
2026-04-02,10000.0,3000.0000000000005,0.0,10000.0,0.0
2026-04-06,10299.667483781272,3000.0000000000005,2.9966748378127184,10299.667483781272,0.0
2026-04-07,10295.324656799488,3000.0000000000005,2.953246567994894,10299.667483781272,-0.04216472996455556
2026-04-08,11161.724508499321,3000.0000000000005,11.6172450849932,11161.724508499321,0.0
2026-04-09,11601.99336059114,3000.0000000000005,16.019933605911383,11601.99336059114,0.0
2026-04-10,11587.448612138549,3000.0000000000005,15.87448612138549,11601.99336059114,-0.12536421975549716
2026-04-13,12109.74039047685,3000.0000000000005,21.09740390476851,12109.74039047685,0.0
2026-04-14,12781.241482087938,3000.0000000000005,27.812414820879393,12781.241482087938,0.0
2026-04-15,12341.561426036313,3000.0000000000005,23.41561426036314,12781.241482087938,-3.440041850925113
2026-04-16,12525.420515636815,3000.0000000000005,25.254205156368158,12781.241482087938,-2.0015345677463325
2026-04-17,12538.466679339284,3000.0000000000005,25.38466679339284,12781.241482087938,-1.8994618252764162
2026-04-20,12374.424839727506,3000.0000000000005,23.74424839727507,12781.241482087938,-3.1829196164594786
2026-04-21,12317.897157034746,3000.0000000000005,23.17897157034745,12781.241482087938,-3.6251902892417642
2026-04-22,13355.026847611203,3000.0000000000005,33.550268476112024,13355.026847611203,0.0
2026-04-23,12995.147417960972,3000.0000000000005,29.951474179609725,13355.026847611203,-2.694711390375093
2026-04-24,13516.213467198704,3000.0000000000005,35.16213467198703,13516.213467198704,0.0
2026-04-27,14379.379366680318,3000.0000000000005,43.79379366680318,14379.379366680318,0.0
2026-04-28,13626.767051594183,3000.0000000000005,36.267670515941816,14379.379366680318,-5.233969393909144
2026-04-29,14200.733042330128,3000.0000000000005,42.00733042330129,14379.379366680318,-1.2423785463519077
2026-04-30,14433.633791827913,3000.0000000000005,44.336337918279135,14433.633791827913,0.0
2026-05-01,15302.44104153137,3000.0000000000005,53.024410415313696,15302.44104153137,0.0
2026-05-04,16368.557106355258,3000.0000000000005,63.68557106355257,16368.557106355258,0.0
2026-05-05,18506.608707166426,3000.0000000000005,85.06608707166426,18506.608707166426,0.0
2026-05-06,19163.91915361011,3000.0000000000005,91.6391915361011,19163.91915361011,0.0
2026-05-07,18220.297588687146,3000.0000000000005,82.20297588687147,19163.91915361011,-4.9239487881329485
2026-05-08,21732.534225055548,3000.0000000000005,117.32534225055548,21732.534225055548,0.0
2026-05-11,22848.44552024524,3000.0000000000005,128.4844552024524,22848.44552024524,0.0
2026-05-12,21343.795789645024,3000.0000000000005,113.43795789645026,22848.44552024524,-6.585348352328813
2026-05-13,22340.502161625798,3000.0000000000005,123.40502161625797,22848.44552024524,-2.223098101660226
2026-05-14,21326.551571708544,3000.0000000000005,113.26551571708544,22848.44552024524,-6.660820523602795
2026-05-15,20192.299481024955,3000.0000000000005,101.92299481024953,22848.44552024524,-11.625062356503701
2026-05-18,18764.489595845724,3000.0000000000005,87.64489595845724,22848.44552024524,-17.874108419239555
2026-05-19,19372.082054251572,3000.0000000000005,93.72082054251571,22848.44552024524,-15.214879554556038
2026-05-20,20165.170061093846,3000.0000000000005,101.65170061093845,22848.44552024524,-11.743798748907597
2026-05-21,21778.02478212119,3000.0000000000005,117.7802478212119,22848.44552024524,-4.6848733633786495
2026-05-22,21082.73391241876,3000.0000000000005,110.82733912418759,22848.44552024524,-7.727928826763919
2026-05-26,25112.894886408754,3000.0000000000005,151.12894886408753,25112.894886408754,0.0
2026-05-27,25880.904214478214,3000.0000000000005,158.80904214478213,25880.904214478214,0.0
2026-05-28,26138.33998142278,3000.0000000000005,161.38339981422783,26138.33998142278,0.0
2026-05-29,27587.29772582272,3000.0000000000005,175.87297725822717,27587.29772582272,0.0
2026-06-01,29871.378746880062,3000.0000000000005,198.7137874688006,29871.378746880062,0.0
2026-06-02,30474.051789505906,3000.0000000000005,204.74051789505907,30474.051789505906,0.0
2026-06-03,31400.53689301961,3000.0000000000005,214.00536893019608,31400.53689301961,0.0
